"","player_id","player","allowed_pressure_dropbacks","hits_allowed","hurries_allowed","pressures_allowed","sacks_allowed","player_game_count.x","percent_qb_allowed_press","base_dropbacks","blitz_grades_offense","blitz_grades_pass","blitz_grades_run","no_blitz_grades_offense","no_blitz_grades_pass","no_blitz_grades_run","no_pressure_grades_offense","no_pressure_grades_pass","no_pressure_grades_run","pressure_grades_offense","pressure_grades_pass","pressure_grades_run","avg_time_to_throw","avg_ttt_attempts","avg_ttt_sacks","avg_ttt_scrambles","aimed_passes","pass_attempts","bats","big_time_throws","completions","dropbacks","drops","first_downs","hit_as_threw","interceptions","passing_snaps","sacks","scrambles","spikes","thrown_aways","pass_tds","turnover_worthy_plays","pass_yards","grades_hands_fumble","grades_offense","grades_pass","grades_run","pressure_to_sack_rate","qb_rating","sack_percent","twp_rate","completion_percent","ypa","accuracy_percent","avg_depth_of_target","btt_rate","drop_rate","avoided_tackles","breakaway_yards","explosive","fumbles","scramble_yards","rush_tds","rush_yards","yards_after_contact","zone_attempts","attempts.y","breakaway_percent","elusive_rating"
"1",9434,"Jameis Winston",98,0,6,8,2,11,8.2,428,85.9,83.9,66.9,73.5,71.8,67.4,87.9,85.9,65.7,61.2,59,68.7,2.69,2.48,4.39,5.41,379,392,2,17,255,428,18,2,2,17,448,15,21,0,9,21,16,3241,68.8,81.8,79.4,67.6,11.5,90.5,3.5,3.6,65.1,8.3,72,8.9,4.2,6.6,5,48,7,7,150,3,187,128,0,19,25.7,10.5
"2",9435,"Marcus Mariota",77,0,4,9,5,12,11.7,393,79.8,73.6,83.2,93.7,92.5,75.5,94.4,93.4,71.9,71.8,60.9,81.6,2.84,2.54,3.6,5.34,323,333,2,19,228,393,22,2,0,2,412,30,30,0,8,36,10,3466,53.8,93.2,91.7,82.6,29.4,136,7.6,2.4,68.5,10.4,77.4,10,5.4,8.8,10,319,30,8,298,11,803,280,0,51,39.7,44.1
"3",9508,"Garrett Grayson",94,0,1,4,3,12,4.3,438,63.2,63.9,50.6,87,88.3,52.8,91.1,91.4,43.2,42,39.6,63.9,2.72,2.53,3.61,4.84,364,389,9,24,253,438,22,0,1,6,457,25,24,0,15,32,18,3778,40,79.3,81.6,42.7,20.3,117.7,5.7,3.9,65,9.7,75.5,10.3,5.9,8,1,0,4,7,144,0,123,14,0,13,0,1.8
"4",9522,"Sean Mannion",119,3,0,4,1,12,3.4,500,76.7,76,57,77.9,76.8,57.6,79.3,77.6,62.6,73.9,74.5,50.3,2.76,2.68,3.35,4.86,437,457,3,27,283,500,29,1,3,8,527,36,7,0,14,15,16,3175,56.7,77.6,78.9,46.3,24.3,86.3,7.2,3,61.9,6.9,71.4,8.9,5.6,9.3,0,0,0,8,37,1,10,2,0,16,0,0
"5",9536,"Bryce Petty",48,0,0,4,4,11,8.3,414,78.8,79.1,57.4,84.7,85.9,44.4,90.3,90,55.3,59.3,64.9,42.7,2.43,2.26,3.68,4.89,360,379,5,22,234,414,26,3,2,6,432,17,18,1,11,26,8,3305,62.7,83.3,87.1,48.3,20.7,106.1,4.1,1.9,61.7,8.7,72.2,11.9,5.6,10,5,53,5,6,99,5,252,89,0,45,21,7.7
"6",9580,"Brett Hundley",94,0,0,4,4,12,4.3,464,52.8,56.2,47.6,77.8,78.2,60.3,86.5,84,69.7,32,37.3,42.8,2.85,2.39,4.38,4.9,351,372,5,15,258,464,20,0,2,5,490,39,53,3,11,21,16,3005,26,71.3,72.8,57.3,30.7,106.8,8.4,3.3,69.4,8.1,79.2,7.5,3.8,7.2,20,110,26,14,384,8,713,264,0,66,15.4,26.6
"7",9664,"Joey Iosefa",1,0,0,0,0,4,0,4,72.2,71.2,0,65.4,0,57,70.5,82.4,57,62.4,49.9,0,3.45,3,0,4.8,3,3,0,0,2,4,0,0,0,0,4,0,1,0,0,1,0,20,70.6,65.3,71.2,60.8,0,125,0,0,66.7,6.7,66.7,22.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",9683,"Trevor Siemian",111,0,4,11,7,11,9.9,443,60.7,62.9,46.9,75.2,75.1,52.9,81.3,79.6,57,50.4,54.5,45.1,2.66,2.46,3.6,5.22,367,394,13,18,228,443,25,5,3,11,463,29,20,0,11,7,16,2227,48.6,75.4,72.8,61.4,21.2,68.1,6.5,3.5,57.9,5.7,68.9,8.3,4.4,9.9,1,16,2,5,79,5,129,38,0,23,12.4,2.7
"9",9696,"Dylan Thompson",105,0,3,6,3,12,5.7,450,77.7,75.9,66.6,72.1,71.9,54.2,88.8,87.8,57.7,46.7,45.8,60.5,2.74,2.59,4.36,5.35,397,419,3,20,248,450,22,3,1,11,472,20,11,1,17,24,19,3281,52.5,72.5,75.2,44,14,92.2,4.4,4,59.2,7.8,68,10.5,4.5,8.1,3,0,4,7,74,3,105,38,0,35,0,4.2
"10",9724,"Connor Halliday",81,0,2,4,2,9,4.9,551,84.6,83.3,0,80.1,79.7,49.1,90.9,90.4,47.2,38.7,39.7,58.6,2.23,2.15,3.5,5.42,504,525,4,29,350,551,31,2,2,11,580,20,6,0,15,32,21,3840,62.8,83.5,82.8,49.1,20.2,99.7,3.6,3.6,66.7,7.3,75.6,7.4,5.3,8.1,0,0,1,4,29,0,29,3,0,0,NA,NA
"11",9751,"Anthony Boone",72,0,6,6,0,12,8.3,440,54,55.4,0,64.4,64.2,59.9,66.4,66.3,57.8,46.6,47.6,62.1,2.2,2.14,3.52,4.28,394,425,15,16,239,440,26,4,4,7,454,10,5,0,12,17,20,2504,64.8,62.7,61.2,63.7,9.9,80,2.3,4.4,56.2,5.9,67.3,8.4,3.6,9.8,10,138,15,6,31,5,396,152,0,79,34.8,21
"12",9829,"Nick Marshall",69,0,4,6,2,12,8.7,295,90.4,86.1,81,82.3,80.1,65,89.4,87.3,60.9,75.9,70.8,76.8,2.85,2.64,4.72,5.75,263,270,5,20,162,295,17,3,0,7,309,13,12,0,2,18,12,2275,67.5,90.1,84.8,77.4,14.3,98.6,4.4,3.9,60,8.4,68.1,12.9,7.1,9.5,41,397,28,5,87,11,852,487,0,126,46.6,106.1
"13",9833,"Jake Waters",81,0,7,15,8,12,18.5,393,71.3,70.9,57.3,90.8,90.7,57.7,91.7,91.4,55.6,61.2,60.8,60.2,3.01,2.87,3.76,4.82,330,350,5,17,231,393,16,0,2,6,420,26,17,0,13,20,13,3163,57.1,82.4,88.5,54.8,23.9,106.6,6.6,3.1,66,9,74.8,10.1,4.5,6.5,6,268,16,7,111,8,597,169,0,104,44.9,5
"14",9839,"Akeem Hunt",1,0,0,0,0,1,0,1,53.9,0,0,55.3,60,0,59.6,0,0,48.2,60,0,3.5,0,3.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",9851,"Jameill Showers",56,1,2,5,2,12,8.9,296,51.5,50.1,64.3,58,57.8,60.8,60.8,59.7,65.1,47.7,48,56.3,2.77,2.63,3.33,4.44,242,267,4,7,148,296,17,0,4,5,316,10,19,0,17,12,6,1745,76.9,59.4,55,64,10.9,82.7,3.4,1.9,55.4,6.5,68.2,7.1,2.5,10.3,22,37,13,1,137,4,355,269,0,59,10.4,93.3
"16",9896,"Taylor Heinicke",132,0,4,7,3,12,5.3,527,83.1,81.6,64.4,86.7,86.1,61,92.5,92,63.1,59.5,58.8,60.5,2.85,2.59,3.86,5.09,428,458,5,36,289,527,26,2,2,16,562,31,38,0,23,30,16,3553,69.6,87.9,88,57.2,18.6,94.3,5.9,2.9,63.1,7.8,73.6,10.3,7.3,8.3,3,17,14,3,323,2,334,74,0,17,5.1,3.9
"17",9912,"Tyler Murphy",79,2,3,8,3,12,10.1,273,59.9,56,70,70.4,67.4,73.4,70.7,70,66.7,61.3,54.1,76.9,3.19,2.92,3.08,4.91,194,216,4,8,120,273,19,0,3,10,289,22,35,3,12,11,11,1526,61.9,73.6,63.8,75.9,18.8,75.5,8.1,3.8,55.6,7.1,71.6,11,3.5,13.7,32,590,39,9,315,10,1239,516,0,122,47.6,43.3
"18",9949,"Devin Gardner",66,0,0,4,4,12,6.1,349,71.7,69.4,68,55.4,54.9,56.7,66.7,66.9,56.3,53.7,49.5,68.2,2.8,2.45,3.88,4.59,270,283,6,7,174,349,18,3,3,15,359,27,39,0,4,10,16,1896,37,61.9,61.6,56.2,26.5,70.9,7.7,4.5,61.5,6.7,71.1,8.9,2.4,9.4,12,41,18,6,313,4,460,205,0,35,8.9,21.8
"19",9976,"Cody Fajardo",61,1,4,6,1,12,9.8,419,56.1,53.2,69.9,82.2,80.4,65.7,78.6,77.8,58,60.6,52.6,73.9,2.7,2.46,3.42,5.49,360,374,5,11,224,419,22,1,2,11,438,17,28,0,7,18,20,2355,76.5,77.4,73.2,70.1,18.9,82,4.1,4.6,59.9,6.3,68.3,9.4,2.8,8.9,23,458,38,2,194,13,1102,451,0,130,41.6,35.5
"20",10001,"Shane Carden",142,4,5,18,9,12,12.7,610,84.6,82.6,66.7,79.8,78.7,62.4,90.7,90.3,60.3,60.1,58.2,66.9,2.82,2.67,3.85,5.06,522,558,6,18,359,610,26,3,2,8,649,29,23,4,24,28,15,4312,58.2,82.1,82.6,54.3,14.1,98.6,4.8,2.3,64.3,7.7,73.8,9,3,6.8,8,35,9,8,144,6,270,91,0,38,13,16.5
"21",10142,"Cole Stoudt",59,1,0,1,0,12,1.7,295,56.4,59.5,44.4,42.5,44,50.7,54.2,54.3,57.1,35.9,41.1,41.6,2.39,2.18,3.42,5.06,249,266,5,7,164,295,11,0,4,10,302,13,16,1,7,6,18,1558,64.3,47.4,48.4,49.6,14.9,69.7,4.4,6,61.7,5.9,70.3,7.3,2.6,6.3,7,0,6,6,103,0,186,136,0,40,0,14.8
"22",10168,"Hutson Mason",55,0,2,3,1,12,5.5,290,82.5,82.6,0,84.1,84.4,54.5,92.3,92.1,54.3,46.6,47.8,58.6,2.5,2.37,3.75,4.22,249,266,2,19,178,290,13,4,1,4,302,13,11,0,14,20,13,2020,61.5,84.9,87.2,51.3,16.7,108.3,4.5,4.3,66.9,7.6,76.7,9,6.8,6.8,0,0,2,5,58,4,101,40,0,21,0,0
"23",10180,"Zach D'Orazio",1,0,0,0,0,1,0,1,68.7,0,0,62.3,0,57.3,68.4,0,0,55.7,0,57.3,4.4,0,0,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",10635,"Jared Goff",246,1,3,8,4,24,3.25,1097,78.8794895168642,77.3490428441203,65.0569735642662,89.3351868732908,87.8893345487694,65.3265268915223,89.5751139471285,88.5221513217867,62.5557885141294,76.238742023701,73.9659981768459,67.2288969917958,2.48468007312614,2.34948811700183,3.1881352833638,4.71595978062157,937,1002,14,59,627,1097,56,206,13,20,1166,50,45,3,35,72,39,8213,52.4190519598906,88.4691886964448,87.7739288969918,63.5625341841386,14.9434822242479,104.038742023701,4.54940747493163,3.33992707383774,62.5860279441118,8.19441117764471,72.8941302027748,10.1502668089648,5.55026680896478,8.1957310565635,8,0,13,13,334,0,322,122,2,21,0,3.2
"25",10657,"Laquon Treadwell",2,0,1,2,1,2,0,2,85.5,0,0,78.4,70.1,0,76.6,0,0,87.3,70.1,0,7.6,7.7,7.5,0,1,1,0,0,1,2,0,1,0,0,2,1,0,0,0,0,0,21,54.9,82.9,70.1,0,50,118.8,50,0,100,21,100,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",10660,"Paxton Lynch",173,1,3,7,3,24,4.04624277456647,843,87.3007117437722,86.0839857651245,64.3306049822064,80.7733096085409,79.4832740213523,65.1608540925267,86.2391459074733,84.2274021352313,64.95871886121,76.6690391459075,75.8879003558719,65.1982206405694,2.50597864768683,2.34637010676157,3.6120640569395,4.99665480427046,740,776,6,37,517,843,53,183,1,9,872,28,39,0,29,46,24,6471,68.5925266903915,85.4281138790035,84.5861209964413,66.3103202846975,11.188256227758,107.218861209964,3.344128113879,2.78825622775801,66.6252577319588,8.33711340206186,77.0181081081081,8.13716216216216,4.59608108108108,9.32175675675676,22,96,22,7,237,12,718,324,9,134,13.4328358208955,18.7477611940298
"27",10685,"Christian Hackenberg",248,4,2,17,11,24,6.85,911,42.6478594950604,42.8695938529089,58.1693743139407,58.2120746432492,59.6004390779363,51.3462129527991,66.5018660812294,66.6903402854007,54.1126234906696,34.3571899012075,34.0234906695938,53.2135016465423,2.63879120879121,2.39324175824176,3.36752747252747,5.43230769230769,734,784,16,32,420,911,51,100,5,20,955,80,47,1,28,24,33,4979,51.6111964873765,51.1019758507135,53.1236004390779,45.557848518112,23.8108671789243,72.780241492865,8.76673984632272,3.46652030735456,53.5673469387755,6.39948979591837,64.1310626702997,8.96893732970027,3.90694822888283,10.8550408719346,4,0,7,11,287,2,288,154,1,34,0,0
"28",10689,"Tyler Boyd",1,0,0,0,0,3,0,5,84.5,55.14,0,90.3,60.82,22.92,92.1,30.88,22.92,74.44,50.34,0,3.7,3.1,0,2.32,4,4,0,1,3,5,0,2,0,0,5,0,1,0,0,0,0,96,63.56,89.34,81.22,58.26,0,113.34,0,0,75.025,23.975,75.025,18.225,24.975,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",10725,"Jacoby Brissett",179,2,7,20,11,24,11.1597765363128,862,62.9,63.15,54.25,77.45,71.25,75.4,85.05,84.45,64.45,45.7,36.75,74.4,2.96502910360885,2.6199417927823,4.1499417927823,5.00488940628638,650,713,11,33,430,862,32,131,4,9,897,60,88,3,45,41,28,4787,45.3,75.35,69.5,74.5,21.4,94.25,6.95,3.1,60.3245441795231,6.69649368863955,71.0909230769231,9.23061538461538,4.45215384615385,6.93876923076923,44,247,45,15,701,8,1182,594,9,88,20.9318181818182,38.4204545454545
"30",10727,"Cody Kessler",245,4,7,21,10,24,8.57142857142857,873,74.7718213058419,73.7058419243986,62.2175257731959,89.9814432989691,89.2814432989691,65.4731958762887,91.2831615120275,90.779381443299,53.880412371134,77.6412371134021,75.3601374570447,72.4745704467354,2.79443298969072,2.68481099656357,3.42621993127148,5.04718213058419,744,791,9,35,549,873,46,146,6,10,920,59,23,0,32,63,14,6619,67.6460481099656,89.1436426116838,87.7446735395189,61.3742268041237,18.6395189003436,115.985223367698,6.77731958762887,1.51512027491409,69.3944374209861,8.35233881163085,80.0120967741936,8,4.18844086021505,7.71801075268817,6,0,6,9,148,5,130,122,0,34,0,1.75
